accession	start	end	direction	length	Pfam/Hmm	name	description	E-value
NZ_JAANNZ010000009.1_11	7702	9471	-1	590	PF00005	ABC_tran	ABC transporter	3.3e-31
NZ_JAANNZ010000009.1_11	7702	9471	-1	590	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	5e-08
NZ_JAANNZ010000009.1_11	7702	9471	-1	590	PF13191	AAA_16	AAA ATPase domain	2.9e-07
NZ_JAANNZ010000009.1_11	7702	9471	-1	590	PF13401	AAA_22	AAA domain	9.8e-07
NZ_JAANNZ010000009.1_12	9677	9895	1	73	none	none	none	none
NZ_JAANNZ010000009.1_13	10002	10613	1	204	PF02441	Flavoprotein	Flavoprotein	1.1e-13
NZ_JAANNZ010000009.1_14	10610	11602	1	331	none	none	none	none
NZ_JAANNZ010000009.1_15	11599	12804	1	402	none	none	none	none
NZ_JAANNZ010000009.1_16	12801	13931	1	377	PF17914	HopA1	HopA1 effector protein family	2e-38
NZ_JAANNZ010000009.1_17	13928	14785	1	286	PF13649	Methyltransf_25	Methyltransferase domain	4.6e-16
NZ_JAANNZ010000009.1_17	13928	14785	1	286	PF13489	Methyltransf_23	Methyltransferase domain	2.5e-14
NZ_JAANNZ010000009.1_17	13928	14785	1	286	PF08241	Methyltransf_11	Methyltransferase domain	1.9e-11
NZ_JAANNZ010000009.1_17	13928	14785	1	286	PF08242	Methyltransf_12	Methyltransferase domain	9.6e-11
NZ_JAANNZ010000009.1_17	13928	14785	1	286	PF13847	Methyltransf_31	Methyltransferase domain	8.1e-07
NZ_JAANNZ010000009.1_18	14782	16059	1	426	PF00675	Peptidase_M16	Insulinase (Peptidase family M16)	2.8e-14
NZ_JAANNZ010000009.1_18	14782	16059	1	426	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	1.1e-10
NZ_JAANNZ010000009.1_19	16056	17414	1	453	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	6.5e-20
NZ_JAANNZ010000009.1_20	17411	18445	1	345	PF00296	Bac_luciferase	Luciferase-like monooxygenase	5.4e-28
NZ_JAANNZ010000009.1_21	18698	19807	1	370	PF13407	Peripla_BP_4	Periplasmic binding protein domain	1.1e-67
NZ_JAANNZ010000009.1_22	19958	20995	1	346	PF00196	GerE	Bacterial regulatory proteins, luxR family	2.5e-09
NZ_JAANNZ010000009.1_23	20958	21941	-1	328	PF00196	GerE	Bacterial regulatory proteins, luxR family	5.9e-06
NZ_JAANNZ010000009.1_24	21967	22950	-1	328	none	none	none	none
NZ_JAANNZ010000009.1_25	23255	23590	1	112	none	none	none	none
NZ_JAANNZ010000009.1_26	23848	23931	1	28	none	none	none	none
NZ_JBHVKV010000007.1_1	3	86	-1	28	none	none	none	none
NZ_JBHVKV010000007.1_2	344	679	-1	112	none	none	none	none
NZ_JBHVKV010000007.1_3	984	1967	1	328	none	none	none	none
NZ_JBHVKV010000007.1_4	1993	2976	1	328	PF00196	GerE	Bacterial regulatory proteins, luxR family	5.6e-06
NZ_JBHVKV010000007.1_5	2939	3976	-1	346	PF00196	GerE	Bacterial regulatory proteins, luxR family	2.5e-09
NZ_JBHVKV010000007.1_6	4126	5235	-1	370	PF13407	Peripla_BP_4	Periplasmic binding protein domain	1.1e-67
NZ_JBHVKV010000007.1_7	5488	6522	-1	345	PF00296	Bac_luciferase	Luciferase-like monooxygenase	5.1e-29
NZ_JBHVKV010000007.1_8	6519	7877	-1	453	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	1.7e-19
NZ_JBHVKV010000007.1_9	7874	9151	-1	426	PF00675	Peptidase_M16	Insulinase (Peptidase family M16)	2.8e-14
NZ_JBHVKV010000007.1_9	7874	9151	-1	426	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	1.1e-10
NZ_JBHVKV010000007.1_10	9148	10005	-1	286	PF13649	Methyltransf_25	Methyltransferase domain	4.6e-16
NZ_JBHVKV010000007.1_10	9148	10005	-1	286	PF13489	Methyltransf_23	Methyltransferase domain	2.5e-14
NZ_JBHVKV010000007.1_10	9148	10005	-1	286	PF08241	Methyltransf_11	Methyltransferase domain	1.9e-11
NZ_JBHVKV010000007.1_10	9148	10005	-1	286	PF08242	Methyltransf_12	Methyltransferase domain	9.6e-11
NZ_JBHVKV010000007.1_10	9148	10005	-1	286	PF13847	Methyltransf_31	Methyltransferase domain	8.1e-07
NZ_JBHVKV010000007.1_11	10002	11132	-1	377	PF17914	HopA1	HopA1 effector protein family	2e-38
NZ_JBHVKV010000007.1_12	11129	12334	-1	402	none	none	none	none
NZ_JBHVKV010000007.1_13	12331	13323	-1	331	none	none	none	none
NZ_JBHVKV010000007.1_14	13320	13931	-1	204	PF02441	Flavoprotein	Flavoprotein	1.1e-13
NZ_JBHVKV010000007.1_15	14038	14256	-1	73	none	none	none	none
NZ_JBHVKV010000007.1_16	14462	16231	1	590	PF00664	ABC_membrane	ABC transporter transmembrane region	1.1e-33
NZ_JBHVKV010000007.1_16	14462	16231	1	590	PF00005	ABC_tran	ABC transporter	3.3e-31
NZ_JBHVKV010000007.1_16	14462	16231	1	590	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	5e-08
NZ_JBHVKV010000007.1_16	14462	16231	1	590	PF13191	AAA_16	AAA ATPase domain	2.9e-07
NZ_JBHVKV010000007.1_16	14462	16231	1	590	PF13401	AAA_22	AAA domain	9.8e-07
NZ_JBHVKV010000007.1_17	16291	16878	1	196	none	none	none	none
NZ_JBHVKV010000007.1_18	16955	17272	-1	106	PF00196	GerE	Bacterial regulatory proteins, luxR family	3.7e-16
NZ_JBHVKV010000007.1_19	17593	18573	1	327	none	none	none	none
NZ_JBHVKV010000007.1_20	18586	18852	-1	89	none	none	none	none
NZ_JBHVKV010000007.1_21	18863	18991	-1	43	none	none	none	none
NZ_JBHVKV010000007.1_22	19173	19622	-1	150	PF13411	MerR_1	MerR HTH family regulatory protein	4.3e-17
NZ_JBHVKV010000007.1_22	19173	19622	-1	150	PF00376	MerR	MerR family regulatory protein	9.7e-12
NZ_JBHVKV010000007.1_22	19173	19622	-1	150	PF13591	MerR_2	MerR HTH family regulatory protein	1.1e-06
NZ_JBHVKV010000007.1_23	19628	20815	-1	396	PF01556	DnaJ_C	DnaJ C terminal domain	5.7e-47
NZ_JBHVKV010000007.1_23	19628	20815	-1	396	PF00226	DnaJ	DnaJ domain	5.3e-27
NZ_JBHVKV010000007.1_23	19628	20815	-1	396	PF00684	DnaJ_CXXCXGXG	DnaJ central domain	8.6e-12
NZ_JBHVKV010000007.1_24	20858	21544	-1	229	PF01025	GrpE	GrpE	8.2e-37
NZ_JBHVKV010000007.1_25	21541	23397	-1	619	PF00012	HSP70	Hsp70 protein	1.1e-254
NZ_JBHVKV010000007.1_25	21541	23397	-1	619	PF06723	MreB_Mbl	MreB/Mbl protein	5.3e-18
NZ_JBHVKV010000007.1_26	23492	23929	-1	146	none	none	none	none
NZ_JAGPYI010000017.1_1	2	82	-1	27	none	none	none	none
NZ_JAGPYI010000017.1_2	340	675	-1	112	none	none	none	none
NZ_JAGPYI010000017.1_3	980	1963	1	328	none	none	none	none
NZ_JAGPYI010000017.1_4	1989	2972	1	328	PF00196	GerE	Bacterial regulatory proteins, luxR family	5.6e-06
NZ_JAGPYI010000017.1_5	2935	3972	-1	346	PF00196	GerE	Bacterial regulatory proteins, luxR family	2.6e-09
NZ_JAGPYI010000017.1_6	4123	5232	-1	370	PF13407	Peripla_BP_4	Periplasmic binding protein domain	9.7e-68
NZ_JAGPYI010000017.1_7	5494	6528	-1	345	PF00296	Bac_luciferase	Luciferase-like monooxygenase	5.4e-28
NZ_JAGPYI010000017.1_8	6525	7883	-1	453	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	6e-20
NZ_JAGPYI010000017.1_9	7880	9151	-1	424	PF00675	Peptidase_M16	Insulinase (Peptidase family M16)	3.2e-14
NZ_JAGPYI010000017.1_9	7880	9151	-1	424	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	2e-10
NZ_JAGPYI010000017.1_10	9148	10005	-1	286	PF13649	Methyltransf_25	Methyltransferase domain	4.7e-16
NZ_JAGPYI010000017.1_10	9148	10005	-1	286	PF13489	Methyltransf_23	Methyltransferase domain	1.1e-14
NZ_JAGPYI010000017.1_10	9148	10005	-1	286	PF08241	Methyltransf_11	Methyltransferase domain	2e-11
NZ_JAGPYI010000017.1_10	9148	10005	-1	286	PF08242	Methyltransf_12	Methyltransferase domain	9.8e-11
NZ_JAGPYI010000017.1_10	9148	10005	-1	286	PF13847	Methyltransf_31	Methyltransferase domain	5.3e-07
NZ_JAGPYI010000017.1_11	10002	11132	-1	377	PF17914	HopA1	HopA1 effector protein family	2.2e-38
NZ_JAGPYI010000017.1_12	11129	12334	-1	402	none	none	none	none
NZ_JAGPYI010000017.1_13	12331	13323	-1	331	none	none	none	none
NZ_JAGPYI010000017.1_14	13320	13931	-1	204	PF02441	Flavoprotein	Flavoprotein	1.1e-13
NZ_JAGPYI010000017.1_15	14038	14256	-1	73	none	none	none	none
NZ_JAGPYI010000017.1_16	14505	16274	1	590	PF00664	ABC_membrane	ABC transporter transmembrane region	1.6e-33
NZ_JAGPYI010000017.1_16	14505	16274	1	590	PF00005	ABC_tran	ABC transporter	3.5e-31
NZ_JAGPYI010000017.1_16	14505	16274	1	590	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	6e-08
NZ_JAGPYI010000017.1_16	14505	16274	1	590	PF13191	AAA_16	AAA ATPase domain	3.3e-07
NZ_JAGPYI010000017.1_16	14505	16274	1	590	PF13401	AAA_22	AAA domain	9.4e-07
NZ_JAGPYI010000017.1_17	16334	16924	1	197	none	none	none	none
NZ_JAGPYI010000017.1_18	17001	17318	-1	106	PF00196	GerE	Bacterial regulatory proteins, luxR family	3.7e-16
NZ_JAGPYI010000017.1_19	17639	18619	1	327	none	none	none	none
NZ_JAGPYI010000017.1_20	18632	18898	-1	89	none	none	none	none
NZ_JAGPYI010000017.1_21	18909	19037	-1	43	none	none	none	none
NZ_JAGPYI010000017.1_22	19219	19668	-1	150	PF13411	MerR_1	MerR HTH family regulatory protein	4.3e-17
NZ_JAGPYI010000017.1_22	19219	19668	-1	150	PF00376	MerR	MerR family regulatory protein	9.7e-12
NZ_JAGPYI010000017.1_22	19219	19668	-1	150	PF13591	MerR_2	MerR HTH family regulatory protein	1.1e-06
NZ_JAGPYI010000017.1_23	19674	20861	-1	396	PF01556	DnaJ_C	DnaJ C terminal domain	5.7e-47
NZ_JAGPYI010000017.1_23	19674	20861	-1	396	PF00226	DnaJ	DnaJ domain	5.3e-27
NZ_JAGPYI010000017.1_23	19674	20861	-1	396	PF00684	DnaJ_CXXCXGXG	DnaJ central domain	8.6e-12
NZ_JAGPYI010000017.1_24	20904	21590	-1	229	PF01025	GrpE	GrpE	8.2e-37
NZ_JAGPYI010000017.1_25	21587	23443	-1	619	PF00012	HSP70	Hsp70 protein	1.1e-254
NZ_JAGPYI010000017.1_25	21587	23443	-1	619	PF06723	MreB_Mbl	MreB/Mbl protein	5.3e-18
NZ_JAGPYI010000017.1_26	23538	23930	-1	131	none	none	none	none
NZ_JBIENY010000216.1_1	3	437	1	145	none	none	none	none
NZ_JBIENY010000216.1_2	532	2388	1	619	PF00012	HSP70	Hsp70 protein	1.1e-254
NZ_JBIENY010000216.1_2	532	2388	1	619	PF06723	MreB_Mbl	MreB/Mbl protein	5.3e-18
NZ_JBIENY010000216.1_3	2385	3071	1	229	PF01025	GrpE	GrpE	8.5e-37
NZ_JBIENY010000216.1_4	3114	4301	1	396	PF01556	DnaJ_C	DnaJ C terminal domain	5.7e-47
NZ_JBIENY010000216.1_4	3114	4301	1	396	PF00226	DnaJ	DnaJ domain	5.3e-27
NZ_JBIENY010000216.1_4	3114	4301	1	396	PF00684	DnaJ_CXXCXGXG	DnaJ central domain	8.6e-12
NZ_JBIENY010000216.1_5	4307	4756	1	150	PF13411	MerR_1	MerR HTH family regulatory protein	4.3e-17
NZ_JBIENY010000216.1_5	4307	4756	1	150	PF00376	MerR	MerR family regulatory protein	9.7e-12
NZ_JBIENY010000216.1_5	4307	4756	1	150	PF13591	MerR_2	MerR HTH family regulatory protein	1.1e-06
NZ_JBIENY010000216.1_6	4938	5066	1	43	none	none	none	none
NZ_JBIENY010000216.1_7	5077	5343	1	89	none	none	none	none
NZ_JBIENY010000216.1_8	5356	6336	-1	327	none	none	none	none
NZ_JBIENY010000216.1_9	6657	6974	1	106	PF00196	GerE	Bacterial regulatory proteins, luxR family	3.7e-16
NZ_JBIENY010000216.1_10	7051	7641	-1	197	none	none	none	none
NZ_JBIENY010000216.1_11	7701	9470	-1	590	PF00664	ABC_membrane	ABC transporter transmembrane region	1.6e-33
NZ_JBIENY010000216.1_11	7701	9470	-1	590	PF00005	ABC_tran	ABC transporter	3.3e-31
NZ_JBIENY010000216.1_11	7701	9470	-1	590	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	5e-08
NZ_JBIENY010000216.1_11	7701	9470	-1	590	PF13191	AAA_16	AAA ATPase domain	2.9e-07
NZ_JBIENY010000216.1_11	7701	9470	-1	590	PF13401	AAA_22	AAA domain	9.8e-07
NZ_JBIENY010000216.1_12	9677	9895	1	73	none	none	none	none
NZ_JBIENY010000216.1_13	10002	10613	1	204	PF02441	Flavoprotein	Flavoprotein	8.1e-14
NZ_JBIENY010000216.1_14	10610	11602	1	331	none	none	none	none
NZ_JBIENY010000216.1_15	11599	12804	1	402	none	none	none	none
NZ_JBIENY010000216.1_16	12801	13931	1	377	PF17914	HopA1	HopA1 effector protein family	2e-38
NZ_JBIENY010000216.1_17	13928	14776	1	283	PF13649	Methyltransf_25	Methyltransferase domain	4.6e-16
NZ_JBIENY010000216.1_17	13928	14776	1	283	PF13489	Methyltransf_23	Methyltransferase domain	9.1e-15
NZ_JBIENY010000216.1_17	13928	14776	1	283	PF08241	Methyltransf_11	Methyltransferase domain	1.9e-11
NZ_JBIENY010000216.1_17	13928	14776	1	283	PF08242	Methyltransf_12	Methyltransferase domain	9.4e-11
NZ_JBIENY010000216.1_17	13928	14776	1	283	PF13847	Methyltransf_31	Methyltransferase domain	2.2e-07
NZ_JBIENY010000216.1_18	14773	16068	1	432	PF00675	Peptidase_M16	Insulinase (Peptidase family M16)	2.9e-14
NZ_JBIENY010000216.1_18	14773	16068	1	432	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	2.2e-10
NZ_JBIENY010000216.1_19	16065	17441	1	459	PF05193	Peptidase_M16_C	Peptidase M16 inactive domain	6.6e-20
NZ_JBIENY010000216.1_20	17438	18439	1	334	PF00296	Bac_luciferase	Luciferase-like monooxygenase	3.5e-29
NZ_JBIENY010000216.1_21	18692	19801	1	370	PF13407	Peripla_BP_4	Periplasmic binding protein domain	1.1e-67
NZ_JBIENY010000216.1_22	19952	20989	1	346	PF00196	GerE	Bacterial regulatory proteins, luxR family	2.5e-09
NZ_JBIENY010000216.1_23	20952	21935	-1	328	PF00196	GerE	Bacterial regulatory proteins, luxR family	5.6e-06
NZ_JBIENY010000216.1_24	21961	22944	-1	328	none	none	none	none
NZ_JBIENY010000216.1_25	23249	23584	1	112	none	none	none	none
NZ_JBIENY010000216.1_26	23842	23931	1	30	none	none	none	none
