accession	Pfam/Hmm	name	description	E-value
SDH45420.1_9	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	8.4e-50
SDH45420.1_10	PF02709	Glyco_transf_7C	N-terminal domain of galactosyltransferase	1.9e-10
SDH45420.1_11	PF05147	LANC_like	Lanthionine synthetase C-like protein	4.5e-06
SDH45420.1_13	PF00535	Glycos_transf_2	Glycosyl transferase family 2	3e-33
SDH45420.1_13	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	3.5e-15
SDH45420.1_13	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	8.6e-11
SDH45420.1_14	PF03412	Peptidase_C39	Peptidase C39 family	5e-33
SDH45420.1_14	PF00005	ABC_tran	ABC transporter	2.7e-29
SDH45420.1_14	PF00664	ABC_membrane	ABC transporter transmembrane region	5.2e-26
SDH45420.1_14	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	6.8e-06
SDH45420.1_15	PF13437	HlyD_3	HlyD family secretion protein	6.6e-13
SDH45420.1_15	PF16576	HlyD_D23	Barrel-sandwich domain of CusB or HlyD membrane-fusion	5.3e-08
SDH45420.1_17	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	3.5e-08
SDH45420.1_18	PF00296	Bac_luciferase	Luciferase-like monooxygenase	2.9e-16
SDH45420.1_19	PF05050	Methyltransf_21	Methyltransferase FkbM domain	1.6e-18
SDH45420.1_19	PF02475	Met_10	Met-10+ like-protein	2.7e-12
SDH45420.1_20	PF11051	Mannosyl_trans3	Mannosyltransferase putative	7e-47
SDH45420.1_23	PF05593	RHS_repeat	RHS Repeat	5e-07
SDH45420.1_24	PF12639	Colicin-DNase	DNase/tRNase domain of colicin-like bacteriocin	3.6e-09
SDH45420.1_24	PF14414	WHH	A nuclease of the HNH/ENDO VII superfamily with conserved WHH	1e-07
WP_070569063.1_2	PF04572	Gb3_synth	Alpha 1,4-glycosyltransferase conserved region	1.8e-07
WP_070569063.1_2	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	7.2e-07
WP_070569063.1_4	PF13905	Thioredoxin_8	Thioredoxin-like	1.4e-13
WP_070569063.1_4	PF00085	Thioredoxin	Thioredoxin	8.7e-08
WP_070569063.1_4	PF14289	DUF4369	Domain of unknown function (DUF4369)	2.7e-06
WP_070569063.1_5	PF01755	Glyco_transf_25	Glycosyltransferase family 25 (LPS biosynthesis protein)	8.8e-07
WP_070569063.1_7	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	1.2e-09
WP_070569063.1_8	PF11028	DUF2723	Protein of unknown function (DUF2723)	2.9e-71
WP_070569063.1_10	PF02709	Glyco_transf_7C	N-terminal domain of galactosyltransferase	6e-07
WP_070569063.1_13	PF05147	LANC_like	Lanthionine synthetase C-like protein	7.3e-23
WP_070569063.1_14	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	4.6e-28
WP_070569063.1_14	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	9.9e-28
WP_070569063.1_15	PF03412	Peptidase_C39	Peptidase C39 family	1.1e-36
WP_070569063.1_15	PF00664	ABC_membrane	ABC transporter transmembrane region	3.7e-27
WP_070569063.1_15	PF00005	ABC_tran	ABC transporter	4.3e-27
WP_070569063.1_15	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	1.2e-07
WP_070569063.1_16	PF13437	HlyD_3	HlyD family secretion protein	2.4e-11
WP_070569063.1_16	PF00364	Biotin_lipoyl	Biotin-requiring enzyme	8e-06
WP_070569063.1_16	PF16576	HlyD_D23	Barrel-sandwich domain of CusB or HlyD membrane-fusion	8.3e-06
WP_070569063.1_17	PF00535	Glycos_transf_2	Glycosyl transferase family 2	1.1e-37
WP_070569063.1_17	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	1.4e-16
WP_070569063.1_17	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	4.5e-11
WP_070569063.1_20	PF08241	Methyltransf_11	Methyltransferase domain	5e-18
WP_070569063.1_20	PF13649	Methyltransf_25	Methyltransferase domain	2.8e-16
WP_070569063.1_20	PF13847	Methyltransf_31	Methyltransferase domain	8.8e-12
WP_070569063.1_20	PF13489	Methyltransf_23	Methyltransferase domain	3.4e-09
WP_070569063.1_20	PF08242	Methyltransf_12	Methyltransferase domain	2.4e-08
WP_070569063.1_20	PF05175	MTS	Methyltransferase small domain	9.5e-07
WP_070569063.1_20	PF05401	NodS	Nodulation protein S (NodS)	2.4e-06
WP_070569063.1_22	PF00027	cNMP_binding	Cyclic nucleotide-binding domain	9.7e-16
WP_070569063.1_23	PF00756	Esterase	Putative esterase	3.2e-27
WP_070569063.1_24	PF00892	EamA	EamA-like transporter family	3.5e-23
WP_070569063.1_26	PF04773	FecR	FecR protein	4.1e-20
WP_070569063.1_26	PF16344	FecR_C	FecR, C-terminal	9.5e-12
WP_070569063.1_27	PF07715	Plug	TonB-dependent Receptor Plug Domain	7.6e-22
WP_070569063.1_27	PF13715	CarbopepD_reg_2	CarboxypepD_reg-like domain	4e-16
WP_070569063.1_27	PF13620	CarboxypepD_reg	Carboxypeptidase regulatory-like domain	4.6e-09
WP_070569063.1_27	PF07660	STN	Secretin and TonB N terminus short domain	8.4e-06
WP_070569063.1_28	PF07980	SusD_RagB	SusD family	3.8e-46
WP_070569063.1_28	PF14322	SusD-like_3	Starch-binding associating with outer membrane	1.3e-20
WP_070569063.1_29	PF00884	Sulfatase	Sulfatase	4.5e-55
WP_070569063.1_29	PF01663	Phosphodiest	Type I phosphodiesterase / nucleotide pyrophosphatase	8.7e-07
WP_070569063.1_30	PF00884	Sulfatase	Sulfatase	9.5e-54
WP_070569063.1_30	PF16347	SGSH_C	N-sulphoglucosamine sulphohydrolase, C-terminal	6.2e-14
WP_070569063.1_31	PF04542	Sigma70_r2	Sigma-70 region 2	1.1e-11
WP_070569063.1_31	PF08281	Sigma70_r4_2	Sigma-70, region 4	1.1e-11
WP_070569063.1_32	PF00677	Lum_binding	Lumazine binding domain	7.9e-47
WP_070569063.1_33	PF00654	Voltage_CLC	Voltage gated chloride channel	1.5e-78
WP_070569063.1_34	PF03466	LysR_substrate	LysR substrate binding domain	2.1e-11
ATP55373.1_2	PF01035	DNA_binding_1	6-O-methylguanine DNA methyltransferase, DNA binding domain	4.4e-21
ATP55373.1_3	PF11188	DUF2975	Protein of unknown function (DUF2975)	7e-07
ATP55373.1_4	PF13443	HTH_26	Cro/C1-type HTH DNA-binding domain	4.7e-21
ATP55373.1_5	PF02485	Branch	Core-2/I-Branching enzyme	6.2e-30
ATP55373.1_7	PF01381	HTH_3	Helix-turn-helix	2.2e-10
ATP55373.1_7	PF12844	HTH_19	Helix-turn-helix domain	1.7e-07
ATP55373.1_9	PF03412	Peptidase_C39	Peptidase C39 family	2.7e-34
ATP55373.1_9	PF00005	ABC_tran	ABC transporter	2.7e-24
ATP55373.1_9	PF00664	ABC_membrane	ABC transporter transmembrane region	4.3e-24
ATP55373.1_9	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	2.4e-07
ATP55373.1_10	PF13437	HlyD_3	HlyD family secretion protein	2.6e-07
ATP55373.1_10	PF13533	Biotin_lipoyl_2	Biotin-lipoyl like	2.1e-06
ATP55373.1_12	PF00534	Glycos_transf_1	Glycosyl transferases group 1	3.4e-21
ATP55373.1_12	PF13692	Glyco_trans_1_4	Glycosyl transferases group 1	8.5e-17
ATP55373.1_12	PF13439	Glyco_transf_4	Glycosyltransferase Family 4	1e-09
ATP55373.1_13	PF05147	LANC_like	Lanthionine synthetase C-like protein	5.5e-41
ATP55373.1_14	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	5e-125
ATP55373.1_14	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	6e-54
ATP55373.1_15	PF03572	Peptidase_S41	Peptidase family S41	3.3e-10
ATP55373.1_16	PF02321	OEP	Outer membrane efflux protein	2.2e-34
ATP55373.1_17	PF00535	Glycos_transf_2	Glycosyl transferase family 2	3.3e-24
ATP55373.1_17	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	6.9e-09
ATP55373.1_17	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	2.3e-08
ATP55373.1_20	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	1.3e-12
ATP55373.1_21	PF00665	rve	Integrase core domain	1.4e-11
ATP55373.1_25	PF00753	Lactamase_B	Metallo-beta-lactamase superfamily	1.6e-07
ATP55373.1_27	PF00155	Aminotran_1_2	Aminotransferase class I and II	7.5e-52
ATP55373.1_28	PF07610	DUF1573	Protein of unknown function (DUF1573)	3.7e-35
ATP55373.1_28	PF15780	ASH	Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin	8e-08
ATP55373.1_29	PF00676	E1_dh	Dehydrogenase E1 component	7.8e-28
ATP55373.1_29	PF02780	Transketolase_C	Transketolase, C-terminal domain	5.5e-26
ATP55373.1_29	PF02779	Transket_pyr	Transketolase, pyrimidine binding domain	1.6e-17
ATP55373.1_29	PF17147	PFOR_II	Pyruvate:ferredoxin oxidoreductase core domain II	6.6e-06
ATP55373.1_30	PF01264	Chorismate_synt	Chorismate synthase	1.8e-144
ATP55373.1_31	PF00275	EPSP_synthase	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	2.3e-80
ATP55373.1_32	PF00793	DAHP_synth_1	DAHP synthetase I family	2.7e-34
ATP55373.1_32	PF01817	CM_2	Chorismate mutase type II	8.3e-18
ATP55373.1_33	PF00800	PDT	Prephenate dehydratase	1.2e-54
ATP55373.1_34	PF01761	DHQ_synthase	3-dehydroquinate synthase	7.7e-92
ATP55373.1_34	PF13685	Fe-ADH_2	Iron-containing alcohol dehydrogenase	1.8e-13
ATP55373.1_35	PF13275	S4_2	S4 domain	2.9e-23
ATP55373.1_36	PF01619	Pro_dh	Proline dehydrogenase	5.5e-78
ATP55373.1_37	PF06127	Mpo1-like	2-hydroxy-palmitic acid dioxygenase Mpo1-like	2.4e-37
WP_099437326.1_2	PF01035	DNA_binding_1	6-O-methylguanine DNA methyltransferase, DNA binding domain	4.4e-21
WP_099437326.1_3	PF11188	DUF2975	Protein of unknown function (DUF2975)	7e-07
WP_099437326.1_4	PF13443	HTH_26	Cro/C1-type HTH DNA-binding domain	4.7e-21
WP_099437326.1_5	PF02485	Branch	Core-2/I-Branching enzyme	6.2e-30
WP_099437326.1_7	PF01381	HTH_3	Helix-turn-helix	2.2e-10
WP_099437326.1_7	PF12844	HTH_19	Helix-turn-helix domain	1.7e-07
WP_099437326.1_9	PF03412	Peptidase_C39	Peptidase C39 family	2.7e-34
WP_099437326.1_9	PF00005	ABC_tran	ABC transporter	2.7e-24
WP_099437326.1_9	PF00664	ABC_membrane	ABC transporter transmembrane region	4.3e-24
WP_099437326.1_9	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	2.4e-07
WP_099437326.1_10	PF13437	HlyD_3	HlyD family secretion protein	2.6e-07
WP_099437326.1_10	PF13533	Biotin_lipoyl_2	Biotin-lipoyl like	2.1e-06
WP_099437326.1_12	PF00534	Glycos_transf_1	Glycosyl transferases group 1	3.4e-21
WP_099437326.1_12	PF13692	Glyco_trans_1_4	Glycosyl transferases group 1	8.5e-17
WP_099437326.1_12	PF13439	Glyco_transf_4	Glycosyltransferase Family 4	1e-09
WP_099437326.1_13	PF05147	LANC_like	Lanthionine synthetase C-like protein	5.5e-41
WP_099437326.1_14	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	5e-125
WP_099437326.1_14	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	6e-54
WP_099437326.1_15	PF03572	Peptidase_S41	Peptidase family S41	3.3e-10
WP_099437326.1_16	PF02321	OEP	Outer membrane efflux protein	2.2e-34
WP_099437326.1_17	PF00535	Glycos_transf_2	Glycosyl transferase family 2	3.3e-24
WP_099437326.1_17	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	6.9e-09
WP_099437326.1_17	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	2.3e-08
WP_099437326.1_20	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	1.3e-12
WP_099437326.1_21	PF00665	rve	Integrase core domain	1.4e-11
WP_099437326.1_25	PF00753	Lactamase_B	Metallo-beta-lactamase superfamily	1.6e-07
WP_099437326.1_27	PF00155	Aminotran_1_2	Aminotransferase class I and II	7.5e-52
WP_099437326.1_28	PF07610	DUF1573	Protein of unknown function (DUF1573)	3.7e-35
WP_099437326.1_28	PF15780	ASH	Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin	8e-08
WP_099437326.1_29	PF00676	E1_dh	Dehydrogenase E1 component	7.8e-28
WP_099437326.1_29	PF02780	Transketolase_C	Transketolase, C-terminal domain	5.5e-26
WP_099437326.1_29	PF02779	Transket_pyr	Transketolase, pyrimidine binding domain	1.6e-17
WP_099437326.1_29	PF17147	PFOR_II	Pyruvate:ferredoxin oxidoreductase core domain II	6.6e-06
WP_099437326.1_30	PF01264	Chorismate_synt	Chorismate synthase	1.8e-144
WP_099437326.1_31	PF00275	EPSP_synthase	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	2.3e-80
WP_099437326.1_32	PF00793	DAHP_synth_1	DAHP synthetase I family	2.7e-34
WP_099437326.1_32	PF01817	CM_2	Chorismate mutase type II	8.3e-18
WP_099437326.1_33	PF00800	PDT	Prephenate dehydratase	1.2e-54
WP_099437326.1_34	PF01761	DHQ_synthase	3-dehydroquinate synthase	7.7e-92
WP_099437326.1_34	PF13685	Fe-ADH_2	Iron-containing alcohol dehydrogenase	1.8e-13
WP_099437326.1_35	PF13275	S4_2	S4 domain	2.9e-23
WP_099437326.1_36	PF01619	Pro_dh	Proline dehydrogenase	5.5e-78
WP_099437326.1_37	PF06127	Mpo1-like	2-hydroxy-palmitic acid dioxygenase Mpo1-like	2.4e-37
PST83892.1_1	PF11625	DUF3253	Protein of unknown function (DUF3253)	1.3e-27
PST83892.1_2	PF00144	Beta-lactamase	Beta-lactamase	1.2e-54
PST83892.1_3	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	1.4e-07
PST83892.1_4	PF11051	Mannosyl_trans3	Mannosyltransferase putative	4.7e-48
PST83892.1_5	PF05050	Methyltransf_21	Methyltransferase FkbM domain	2.2e-13
PST83892.1_5	PF02475	Met_10	Met-10+ like-protein	2.2e-06
PST83892.1_8	PF00005	ABC_tran	ABC transporter	7.3e-26
PST83892.1_8	PF00664	ABC_membrane	ABC transporter transmembrane region	9.6e-26
PST83892.1_8	PF03412	Peptidase_C39	Peptidase C39 family	1.3e-14
PST83892.1_8	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	8.5e-07
PST83892.1_9	PF13437	HlyD_3	HlyD family secretion protein	2.4e-07
PST83892.1_11	PF00534	Glycos_transf_1	Glycosyl transferases group 1	6.5e-22
PST83892.1_11	PF13692	Glyco_trans_1_4	Glycosyl transferases group 1	9.9e-18
PST83892.1_11	PF20706	GT4-conflict	Family 4 Glycosyltransferase in conflict systems	6.2e-06
PST83892.1_12	PF05147	LANC_like	Lanthionine synthetase C-like protein	3.6e-29
PST83892.1_13	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	1.3e-128
PST83892.1_13	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	1e-52
PST83892.1_14	PF03572	Peptidase_S41	Peptidase family S41	2.5e-11
PST83892.1_15	PF02321	OEP	Outer membrane efflux protein	1.4e-29
PST83892.1_16	PF00535	Glycos_transf_2	Glycosyl transferase family 2	4.8e-31
PST83892.1_16	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	1.1e-15
PST83892.1_16	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	4.2e-11
PST83892.1_17	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	5.3e-09
PST83892.1_18	PF01844	HNH	HNH endonuclease	4.5e-06
PST83892.1_19	PF14267	DUF4357	Domain of unknown function (DUF4357)	2.8e-16
PST83892.1_20	PF00872	Transposase_mut	Transposase, Mutator family	1.6e-08
PST83892.1_22	PF00872	Transposase_mut	Transposase, Mutator family	3e-81
PST83892.1_26	PF17293	Arm-DNA-bind_5	Arm DNA-binding domain	4.6e-10
PST83892.1_27	PF01527	HTH_Tnp_1	Transposase	5.9e-24
PST83892.1_27	PF13384	HTH_23	Homeodomain-like domain	2.9e-07
PST83892.1_28	PF13683	rve_3	Integrase core domain	1.4e-27
PST83892.1_28	PF00665	rve	Integrase core domain	2.6e-24
PST83892.1_28	PF13276	HTH_21	HTH-like domain	2.5e-11
PST83892.1_32	PF03462	PCRF	PCRF domain	1.5e-77
PST83892.1_32	PF00472	RF-1	RF-1 domain	9.1e-39
PST83892.1_33	PF00149	Metallophos	Calcineurin-like phosphoesterase	3.4e-09
PST83892.1_33	PF12850	Metallophos_2	Calcineurin-like phosphoesterase superfamily domain	3e-06
PST83892.1_35	PF07992	Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase	2.3e-25
PST83892.1_35	PF13738	Pyr_redox_3	Pyridine nucleotide-disulphide oxidoreductase	7.1e-21
PST83892.1_35	PF00070	Pyr_redox	Pyridine nucleotide-disulphide oxidoreductase	1.8e-11
PST83892.1_35	PF03486	HI0933_like	HI0933-like protein	3.7e-08
PST83892.1_36	PF00111	Fer2	2Fe-2S iron-sulfur cluster binding domain	6e-08
PST83892.1_37	PF03572	Peptidase_S41	Peptidase family S41	6.5e-52
PST83892.1_37	PF13180	PDZ_2	PDZ domain	2.1e-09
PST83892.1_37	PF17820	PDZ_6	PDZ domain	2.8e-09
PST83892.1_37	PF00595	PDZ	PDZ domain	1.1e-06
WP_107213801.1_1	PF11625	DUF3253	Protein of unknown function (DUF3253)	1.3e-27
WP_107213801.1_2	PF00144	Beta-lactamase	Beta-lactamase	1.2e-54
WP_107213801.1_3	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	1.4e-07
WP_107213801.1_4	PF11051	Mannosyl_trans3	Mannosyltransferase putative	4.7e-48
WP_107213801.1_5	PF05050	Methyltransf_21	Methyltransferase FkbM domain	2.2e-13
WP_107213801.1_5	PF02475	Met_10	Met-10+ like-protein	2.2e-06
WP_107213801.1_8	PF00005	ABC_tran	ABC transporter	7.3e-26
WP_107213801.1_8	PF00664	ABC_membrane	ABC transporter transmembrane region	9.6e-26
WP_107213801.1_8	PF03412	Peptidase_C39	Peptidase C39 family	1.3e-14
WP_107213801.1_8	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	8.5e-07
WP_107213801.1_9	PF13437	HlyD_3	HlyD family secretion protein	2.4e-07
WP_107213801.1_11	PF00534	Glycos_transf_1	Glycosyl transferases group 1	6.5e-22
WP_107213801.1_11	PF13692	Glyco_trans_1_4	Glycosyl transferases group 1	9.9e-18
WP_107213801.1_11	PF20706	GT4-conflict	Family 4 Glycosyltransferase in conflict systems	6.2e-06
WP_107213801.1_12	PF05147	LANC_like	Lanthionine synthetase C-like protein	3.6e-29
WP_107213801.1_13	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	1.3e-128
WP_107213801.1_13	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	1e-52
WP_107213801.1_14	PF03572	Peptidase_S41	Peptidase family S41	2.5e-11
WP_107213801.1_15	PF02321	OEP	Outer membrane efflux protein	1.4e-29
WP_107213801.1_16	PF00535	Glycos_transf_2	Glycosyl transferase family 2	4.8e-31
WP_107213801.1_16	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	1.1e-15
WP_107213801.1_16	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	4.2e-11
WP_107213801.1_17	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	5.3e-09
WP_107213801.1_18	PF01844	HNH	HNH endonuclease	4.5e-06
WP_107213801.1_19	PF14267	DUF4357	Domain of unknown function (DUF4357)	2.8e-16
WP_107213801.1_20	PF00872	Transposase_mut	Transposase, Mutator family	1.6e-08
WP_107213801.1_22	PF00872	Transposase_mut	Transposase, Mutator family	3e-81
WP_107213801.1_26	PF17293	Arm-DNA-bind_5	Arm DNA-binding domain	4.6e-10
WP_107213801.1_27	PF01527	HTH_Tnp_1	Transposase	5.9e-24
WP_107213801.1_27	PF13384	HTH_23	Homeodomain-like domain	2.9e-07
WP_107213801.1_28	PF13683	rve_3	Integrase core domain	1.4e-27
WP_107213801.1_28	PF00665	rve	Integrase core domain	2.6e-24
WP_107213801.1_28	PF13276	HTH_21	HTH-like domain	2.5e-11
WP_107213801.1_32	PF03462	PCRF	PCRF domain	1.5e-77
WP_107213801.1_32	PF00472	RF-1	RF-1 domain	9.1e-39
WP_107213801.1_33	PF00149	Metallophos	Calcineurin-like phosphoesterase	3.4e-09
WP_107213801.1_33	PF12850	Metallophos_2	Calcineurin-like phosphoesterase superfamily domain	3e-06
WP_107213801.1_35	PF07992	Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase	2.3e-25
WP_107213801.1_35	PF13738	Pyr_redox_3	Pyridine nucleotide-disulphide oxidoreductase	7.1e-21
WP_107213801.1_35	PF00070	Pyr_redox	Pyridine nucleotide-disulphide oxidoreductase	1.8e-11
WP_107213801.1_35	PF03486	HI0933_like	HI0933-like protein	3.7e-08
WP_107213801.1_36	PF00111	Fer2	2Fe-2S iron-sulfur cluster binding domain	6e-08
WP_107213801.1_37	PF03572	Peptidase_S41	Peptidase family S41	6.5e-52
WP_107213801.1_37	PF13180	PDZ_2	PDZ domain	2.1e-09
WP_107213801.1_37	PF17820	PDZ_6	PDZ domain	2.8e-09
WP_107213801.1_37	PF00595	PDZ	PDZ domain	1.1e-06
