accession	start	end	direction	length	Pfam/Hmm	name	description	E-value
PST83892.1_20	20193	20924	1	244	PF00665	rve	Integrase core domain	2e-24
PST83892.1_20	20193	20924	1	244	PF13683	rve_3	Integrase core domain	1.3e-15
PST83892.1_20	20193	20924	1	244	PF13276	HTH_21	HTH-like domain	1.9e-11
WP_107213801.1_1	2	283	1	94	none	none	none	none
WP_107213801.1_2	285	1067	1	261	none	none	none	none
WP_107213801.1_3	1051	2268	1	406	PF00534	Glycos_transf_1	Glycosyl transferases group 1	6.5e-22
WP_107213801.1_3	1051	2268	1	406	PF13692	Glyco_trans_1_4	Glycosyl transferases group 1	9.9e-18
WP_107213801.1_3	1051	2268	1	406	PF20706	GT4-conflict	Family 4 Glycosyltransferase in conflict systems	6.2e-06
WP_107213801.1_4	2268	3476	1	403	PF05147	LANC_like	Lanthionine synthetase C-like protein	3.6e-29
WP_107213801.1_5	3531	6551	1	1007	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	1.3e-128
WP_107213801.1_5	3531	6551	1	1007	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	1e-52
WP_107213801.1_6	6548	8656	1	703	PF03572	Peptidase_S41	Peptidase family S41	2.5e-11
WP_107213801.1_7	8631	10001	1	457	PF02321	OEP	Outer membrane efflux protein	1.4e-29
WP_107213801.1_8	10001	10924	1	308	PF00535	Glycos_transf_2	Glycosyl transferase family 2	4.8e-31
WP_107213801.1_8	10001	10924	1	308	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	1.1e-15
WP_107213801.1_8	10001	10924	1	308	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	4.2e-11
WP_107213801.1_9	10913	11560	-1	216	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	5.3e-09
WP_107213801.1_10	11810	12538	-1	243	PF01844	HNH	HNH endonuclease	4.5e-06
WP_107213801.1_11	13140	13751	-1	204	PF14267	DUF4357	Domain of unknown function (DUF4357)	2.8e-16
WP_107213801.1_12	14274	14651	1	126	PF00872	Transposase_mut	Transposase, Mutator family	1.6e-08
WP_107213801.1_13	15406	15603	1	66	none	none	none	none
WP_107213801.1_14	15575	16456	1	294	PF00872	Transposase_mut	Transposase, Mutator family	3e-81
WP_107213801.1_15	16588	17187	-1	200	none	none	none	none
WP_107213801.1_16	17147	18619	-1	491	none	none	none	none
WP_107213801.1_17	18726	18905	1	60	none	none	none	none
WP_107213801.1_18	18922	19173	-1	84	PF17293	Arm-DNA-bind_5	Arm DNA-binding domain	4.6e-10
WP_107213801.1_19	19909	20220	1	104	PF01527	HTH_Tnp_1	Transposase	5.9e-24
WP_107213801.1_19	19909	20220	1	104	PF13384	HTH_23	Homeodomain-like domain	2.9e-07
WP_107213801.1_20	20193	20924	1	244	PF00665	rve	Integrase core domain	2e-24
WP_107213801.1_20	20193	20924	1	244	PF13683	rve_3	Integrase core domain	1.3e-15
WP_107213801.1_20	20193	20924	1	244	PF13276	HTH_21	HTH-like domain	1.9e-11
